Date,Total.Streams,Abreviatted
2017-09-05,72805797,US
2017-09-06,72866411,US
2017-09-07,73690874,US
2017-09-08,78056264,US
2017-09-09,71145714,US
2017-09-10,64297682,US
2017-09-11,68638823,US
2017-09-12,71885375,US
2017-09-13,73610248,US
2017-09-14,75309275,US
2017-09-15,79157150,US
2017-09-16,73449394,US
2017-09-17,66451000,US
2017-09-18,73638947,US
2017-09-19,75822326,US
2017-09-20,76741694,US
2017-09-21,76822734,US
2017-09-22,78952875,US
2017-09-23,72193565,US
2017-09-24,65561349,US
2017-09-25,71853940,US
2017-09-26,74136935,US
2017-09-27,75675217,US
2017-09-28,76132513,US
2017-09-29,79643253,US
2017-09-30,72277832,US
2017-10-01,65147005,US
2017-10-02,70620878,US
2017-10-03,77023547,US
2017-10-04,74035743,US
2017-10-05,73427613,US
2017-10-06,79055175,US
2017-10-07,71385812,US
2017-10-08,63822296,US
2017-10-09,69450506,US
2017-10-10,70467621,US
2017-10-11,70911880,US
2017-10-12,72425103,US
2017-10-13,76435828,US
2017-10-14,70031674,US
2017-10-15,63719044,US
2017-10-16,69968604,US
2017-10-17,72145393,US
2017-10-18,72755551,US
2017-10-19,73257630,US
2017-10-20,80598763,US
2017-10-21,72416814,US
2017-10-22,64288243,US
2017-10-23,70801301,US
2017-10-24,72322283,US
2017-10-25,73835516,US
2017-10-26,74512222,US
2017-10-27,77644913,US
2017-10-28,69525650,US
2017-10-29,62734934,US
2017-10-30,68144201,US
2017-10-31,77920225,US
2017-11-01,73105721,US
2017-11-02,75204906,US
2017-11-03,81718886,US
2017-11-04,72703389,US
2017-11-05,64697197,US
2017-11-06,73071727,US
2017-11-07,75860278,US
2017-11-08,74954911,US
2017-11-09,74753196,US
2017-11-10,77585738,US
2017-11-11,71410372,US
2017-11-12,63710519,US
2017-11-13,69698789,US
2017-11-14,72592734,US
2017-11-15,72725563,US
2017-11-16,72793756,US
2017-11-17,75684301,US
2017-11-18,70511359,US
2017-11-19,63539058,US
2017-11-20,69034688,US
2017-11-21,73260359,US
