Song,Artist,Date,Streams,Rank,Country
Blinding Lights,The Weeknd,2020-07-17,"14,099",1,Ukraine
Cadillac,"MORGENSHTERN, Eldzhey",2020-07-17,"12,379",2,Ukraine
ROCKSTAR (feat. Roddy Ricch),DaBaby,2020-07-17,"11,079",3,Ukraine
Minor,Miyagi & Andy Panda,2020-07-17,"9,558",4,Ukraine
Yamakasi,Miyagi & Andy Panda,2020-07-17,"9,459",5,Ukraine
Habits,payton,2020-07-17,"8,658",6,Ukraine
Там ревели горы,Miyagi & Andy Panda,2020-07-17,"7,757",7,Ukraine
Atlant,Miyagi & Andy Panda,2020-07-17,"7,667",8,Ukraine
Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",2020-07-17,"7,330",9,Ukraine
POPSTAR (feat. Drake),DJ Khaled,2020-07-17,"7,182",10,Ukraine
Come & Go (with Marshmello),Juice WRLD,2020-07-17,"7,119",11,Ukraine
Watermelon Sugar,Harry Styles,2020-07-17,"7,084",12,Ukraine
How You Like That,BLACKPINK,2020-07-17,"7,038",13,Ukraine
X.O,"The Limba, Andro",2020-07-17,"6,611",14,Ukraine
Fendi,Rakhim,2020-07-17,"6,554",15,Ukraine
Дежавю,kizaru,2020-07-17,"6,510",16,Ukraine
Tantra,Miyagi & Andy Panda,2020-07-17,"6,472",17,Ukraine
Психопатия,Miyagi & Andy Panda,2020-07-17,"6,333",18,Ukraine
Utopia,Miyagi & Andy Panda,2020-07-17,"6,071",19,Ukraine
Breaking Me,"Topic, A7S",2020-07-17,"6,041",20,Ukraine
ily (i love you baby) (feat. Emilee),Surf Mesa,2020-07-17,"6,005",21,Ukraine
Roses - Imanbek Remix,SAINt JHN,2020-07-17,"5,896",22,Ukraine
Wishing Well,Juice WRLD,2020-07-17,"5,485",23,Ukraine
Toosie Slide,Drake,2020-07-17,"5,443",24,Ukraine
Medicine,Miyagi & Andy Panda,2020-07-17,"5,377",25,Ukraine
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",2020-07-17,"5,295",26,Ukraine
Мало нам,Miyagi & Andy Panda,2020-07-17,"5,079",27,Ukraine
Поболело и прошло,HENSY,2020-07-17,"5,076",28,Ukraine
Blueberry Faygo,Lil Mosey,2020-07-17,"4,889",29,Ukraine
Party Girl (Remix),"StaySolidRocky, Lil Uzi Vert",2020-07-17,"4,837",30,Ukraine
death bed (coffee for your head),"Powfu, beabadoobee",2020-07-17,"4,705",31,Ukraine
HIGHEST IN THE ROOM,Travis Scott,2020-07-17,"4,498",32,Ukraine
Kings & Queens,Ava Max,2020-07-17,"4,476",33,Ukraine
Break My Heart,Dua Lipa,2020-07-17,"4,432",34,Ukraine
SICKO MODE,Travis Scott,2020-07-17,"4,393",35,Ukraine
goosebumps,Travis Scott,2020-07-17,"4,354",36,Ukraine
Friendly Fire - Prod. Avepack,Boulevard Depo,2020-07-17,"4,349",37,Ukraine
ВЕЧЕРиНОЧКА,"MONATIK, Vera Brezhneva",2020-07-17,"4,329",38,Ukraine
Last Dance,Vremya i Steklo,2020-07-17,"4,322",39,Ukraine
Rain On Me (with Ariana Grande),Lady Gaga,2020-07-17,"4,255",40,Ukraine
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Tory Lanez, Jack Harlow",2020-07-17,"4,254",41,Ukraine
Положение,Scriptonite,2020-07-17,"4,152",42,Ukraine
Honey's Kettle,"kizaru, HoodRich Pablo Juan",2020-07-17,"4,129",43,Ukraine
Тихо діти сплять (Tyho Dity Splyat),alyona alyona,2020-07-17,"4,087",44,Ukraine
The Box,Roddy Ricch,2020-07-17,"4,080",45,Ukraine
Москва любит...,Scriptonite,2020-07-17,"4,022",46,Ukraine
Шантаж,Max Korzh,2020-07-17,"3,800",47,Ukraine
Gimme The Loot,Big Baby Tape,2020-07-17,"3,666",48,Ukraine
SO WHAT!,jxdn,2020-07-17,"3,629",49,Ukraine
Lovefool,twocolors,2020-07-17,"3,626",50,Ukraine
Колхозник,Mnogoznaal,2020-07-17,"3,623",51,Ukraine
Don't Start Now,Dua Lipa,2020-07-17,"3,623",52,Ukraine
In Your Eyes,The Weeknd,2020-07-17,"3,622",53,Ukraine
РАТАТАТАТА,"MORGENSHTERN, Vitya AK",2020-07-17,"3,608",54,Ukraine
MONEY LONG,kizaru,2020-07-17,"3,581",55,Ukraine
Dance Monkey,Tones And I,2020-07-17,"3,563",56,Ukraine
Малый повзрослел,Max Korzh,2020-07-17,"3,534",57,Ukraine
Новый Мерин,MORGENSHTERN,2020-07-17,"3,510",58,Ukraine
Righteous,Juice WRLD,2020-07-17,"3,490",59,Ukraine
2 типа людей,Max Korzh,2020-07-17,"3,429",60,Ukraine
Краш,"Klava Koka, NILETTO",2020-07-17,"3,230",61,Ukraine
Life's A Mess (feat. Halsey),Juice WRLD,2020-07-17,"3,174",62,Ukraine
Your eyes tell,BTS,2020-07-17,"3,138",63,Ukraine
Say So,Doja Cat,2020-07-17,"3,136",64,Ukraine
Мультибрендовый,"Scriptonite, 104, T-Fest, Niman",2020-07-17,"3,123",65,Ukraine
Stay Gold,BTS,2020-07-17,"3,118",66,Ukraine
Ламбада,"T-Fest, Scriptonite",2020-07-17,"3,116",67,Ukraine
MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",2020-07-17,"3,038",68,Ukraine
bad guy,Billie Eilish,2020-07-17,"3,011",69,Ukraine
Малолетка,Max Korzh,2020-07-17,"2,994",70,Ukraine
ЮМОРИСТ - Original Motion Picture Soundtrack,FACE,2020-07-17,"2,982",71,Ukraine
Trap Luv,Big Baby Tape,2020-07-17,"2,964",72,Ukraine
Life Is Good (feat. Drake),Future,2020-07-17,"2,897",73,Ukraine
Разнесем,Max Korzh,2020-07-17,"2,839",74,Ukraine
Falling,Trevor Daniel,2020-07-17,"2,830",75,Ukraine
Godzilla (feat. Juice WRLD),Eminem,2020-07-17,"2,813",76,Ukraine
Малиновый закат,Max Korzh,2020-07-17,"2,805",77,Ukraine
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,2020-07-17,"2,800",78,Ukraine
Сияй,Ramil',2020-07-17,"2,733",79,Ukraine
Stunnin' (feat. Harm Franklin),Curtis Waters,2020-07-17,"2,709",80,Ukraine
Circles,Post Malone,2020-07-17,"2,693",81,Ukraine
Choco,HLEB,2020-07-17,"2,692",82,Ukraine
Be Kind (with Halsey),Marshmello,2020-07-17,"2,683",83,Ukraine
Angry toy$ - Prod. Ray Qwa,Boulevard Depo,2020-07-17,"2,649",84,Ukraine
TKN (feat. Travis Scott),ROSALÍA,2020-07-17,"2,633",85,Ukraine
Yung Hefner,MORGENSHTERN,2020-07-17,"2,631",86,Ukraine
Stuck with U (with Justin Bieber),Ariana Grande,2020-07-17,"2,612",87,Ukraine
7 rings,Ariana Grande,2020-07-17,"2,596",88,Ukraine
Such a Whore (Stellular Remix),JVLA,2020-07-17,"2,562",89,Ukraine
Believer,Imagine Dragons,2020-07-17,"2,558",90,Ukraine
Someone You Loved,Lewis Capaldi,2020-07-17,"2,546",91,Ukraine
Balenciaga,FILV,2020-07-17,"2,492",92,Ukraine
Supalonely,"BENEE, Gus Dapperton",2020-07-17,"2,477",93,Ukraine
Цепи,"Scriptonite, 104",2020-07-17,"2,460",94,Ukraine
hot girl bummer,blackbear,2020-07-17,"2,459",95,Ukraine
Рашан моуст уонтэд,kizaru,2020-07-17,"2,446",96,Ukraine
Kosandra,Miyagi & Andy Panda,2020-07-17,"2,442",97,Ukraine
Conversations,Juice WRLD,2020-07-17,"2,439",98,Ukraine
GOOBA,6ix9ine,2020-07-17,"2,421",99,Ukraine
Это любовь,Scriptonite,2020-07-17,"2,413",100,Ukraine
SAD!,XXXTENTACION,2020-07-17,"2,404",101,Ukraine
Август,Intelligency,2020-07-17,"2,396",102,Ukraine
Привычка,"Scriptonite, Andy Panda, 104",2020-07-17,"2,386",103,Ukraine
ROXANNE,Arizona Zervas,2020-07-17,"2,375",104,Ukraine
Конфеты,"Markul, Платина",2020-07-17,"2,351",105,Ukraine
Серпантин,Markul,2020-07-17,"2,340",106,Ukraine
Горы по колено,Max Korzh,2020-07-17,"2,333",107,Ukraine
ANGELS & DEMONS,jxdn,2020-07-17,"2,321",108,Ukraine
Hate The Other Side (with Marshmello & The Kid Laroi),"Juice WRLD, Polo G",2020-07-17,"2,320",109,Ukraine
Lucid Dreams,Juice WRLD,2020-07-17,"2,318",110,Ukraine
Jocelyn Flores,XXXTENTACION,2020-07-17,"2,316",111,Ukraine
ЧЁРНЫЙ БУМЕР,"DAVA, Seryoga",2020-07-17,"2,314",112,Ukraine
Señorita,"Shawn Mendes, Camila Cabello",2020-07-17,"2,312",113,Ukraine
Грустная Песня (feat. Егор Крид & MORGENSHTERN),"THRILL PILL, Egor Kreed",2020-07-17,"2,308",114,Ukraine
nursery,"bbno$, lentra",2020-07-17,"2,306",115,Ukraine
Меня не будет,"ANIKV, SALUKI",2020-07-17,"2,294",116,Ukraine
God’s Menu,Stray Kids,2020-07-17,"2,281",117,Ukraine
Евгений Онегин,kizaru,2020-07-17,"2,273",118,Ukraine
Easy,Troye Sivan,2020-07-17,"2,242",119,Ukraine
СИЛЬНО,MONATIK,2020-07-17,"2,240",120,Ukraine
Контрольный,Max Korzh,2020-07-17,"2,237",121,Ukraine
I Got Love,"MiyaGi & Endspiel, Rem Digga",2020-07-17,"2,231",122,Ukraine
Дорадура,дора,2020-07-17,"2,209",123,Ukraine
lovely (with Khalid),Billie Eilish,2020-07-17,"2,199",124,Ukraine
Surname (Prod. DJ Tape & Aarne),Big Baby Tape,2020-07-17,"2,198",125,Ukraine
WHATS POPPIN,Jack Harlow,2020-07-17,"2,197",126,Ukraine
Юность,Dabro,2020-07-17,"2,194",127,Ukraine
Пачка сигарет,LIZER,2020-07-17,"2,186",128,Ukraine
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,2020-07-17,"2,161",129,Ukraine
Останься (feat. BMB SpaceKid),FEDUK,2020-07-17,"2,153",130,Ukraine
NBA (Не мешай),"RSAC, ELLA",2020-07-17,"2,150",131,Ukraine
Двигаться,Raim,2020-07-17,"2,147",132,Ukraine
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,2020-07-17,"2,142",133,Ukraine
27,FEDUK,2020-07-17,"2,141",134,Ukraine
Fata Morgana,"Markul, Oxxxymiron",2020-07-17,"2,139",135,Ukraine
Ransom,Lil Tecca,2020-07-17,"2,132",136,Ukraine
МОЙ КАЛАШНИКОВ,FACE,2020-07-17,"2,127",137,Ukraine
Star Shopping,Lil Peep,2020-07-17,"2,124",138,Ukraine
everything i wanted,Billie Eilish,2020-07-17,"2,116",139,Ukraine
Savage Remix (feat. Beyoncé),"Beyoncé, Megan Thee Stallion",2020-07-17,"2,111",140,Ukraine
Starboy,"The Weeknd, Daft Punk",2020-07-17,"2,099",141,Ukraine
OUT WEST (feat. Young Thug),"JACKBOYS, Travis Scott",2020-07-17,"2,088",142,Ukraine
Мне пох,"Klava Koka, MORGENSHTERN",2020-07-17,"2,086",143,Ukraine
Я закохався,"HammAli & Navai, Misha Marvin",2020-07-17,"2,086",144,Ukraine
ДЕВОЧКА С КАРЕ,MUKKA,2020-07-17,"2,079",145,Ukraine
Без ключа,PHARAOH,2020-07-17,"2,059",146,Ukraine
Монетка,LSP,2020-07-17,"2,058",147,Ukraine
"Дико, например",PHARAOH,2020-07-17,"2,057",148,Ukraine
Сердце Лёд,Cream Soda,2020-07-17,"2,052",149,Ukraine
Инкассатор,ROCKET,2020-07-17,"2,045",150,Ukraine
Ураган (feat. V $ X V PRiNCE),"GUF, Murovei",2020-07-17,"2,030",151,Ukraine
По секрету,Max Barskih,2020-07-17,"2,020",152,Ukraine
Parasite Eve,Bring Me The Horizon,2020-07-17,"2,011",153,Ukraine
NO HOOK NO HOES (feat. Yung Hurn) - Prod. Pretty Scream,Boulevard Depo,2020-07-17,"2,008",154,Ukraine
B.I.D,Markul,2020-07-17,"2,007",155,Ukraine
Худший Друг,Markul,2020-07-17,"2,000",156,Ukraine
Нон стоп,Poshlaya Molly,2020-07-17,"1,999",157,Ukraine
Проснулся В Темноте,GONE.Fludd,2020-07-17,"1,994",158,Ukraine
Бандана,Платина,2020-07-17,"1,991",159,Ukraine
Head & Heart (feat. MNEK),Joel Corry,2020-07-17,"1,986",160,Ukraine
А если это любовь?,HammAli & Navai,2020-07-17,"1,980",161,Ukraine
Не по пути,PHARAOH,2020-07-17,"1,976",162,Ukraine
Больше бед,Markul,2020-07-17,"1,971",163,Ukraine
Между Нами,LIZER,2020-07-17,"1,968",164,Ukraine
Babushka Boi,A$AP Rocky,2020-07-17,"1,946",165,Ukraine
Credo,Zivert,2020-07-17,"1,942",166,Ukraine
Гостиница Космос,Mnogoznaal,2020-07-17,"1,941",167,Ukraine
Улети,T-Fest,2020-07-17,"1,936",168,Ukraine
ПОСОСИ,MORGENSHTERN,2020-07-17,"1,930",169,Ukraine
DEUTSCHLAND,Rammstein,2020-07-17,"1,928",170,Ukraine
Daechwita,Agust D,2020-07-17,"1,913",171,Ukraine
Maria,Hwa Sa,2020-07-17,"1,903",172,Ukraine
when the party's over,Billie Eilish,2020-07-17,"1,899",173,Ukraine
Stressed Out,Twenty One Pilots,2020-07-17,"1,893",174,Ukraine
Антигерой,Mnogoznaal,2020-07-17,"1,890",175,Ukraine
After Party,Don Toliver,2020-07-17,"1,870",176,Ukraine
Numb,Linkin Park,2020-07-17,"1,864",177,Ukraine
Intentions (feat. Quavo),Justin Bieber,2020-07-17,"1,859",178,Ukraine
Fukk Sleep (feat. FKA twigs),A$AP Rocky,2020-07-17,"1,855",179,Ukraine
Hypnodancer,Little Big,2020-07-17,"1,855",180,Ukraine
The Hills,The Weeknd,2020-07-17,"1,852",181,Ukraine
Оптимист,Max Korzh,2020-07-17,"1,843",182,Ukraine
молчи,кис-кис,2020-07-17,"1,836",183,Ukraine
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2020-07-17,"1,833",184,Ukraine
Air Force 1,lil krystalll,2020-07-17,"1,821",185,Ukraine
Money long,kizaru,2020-07-17,"1,788",186,Ukraine
СПАСАТЕЛЬНЫЙ КРУГ,FACE,2020-07-17,"1,777",187,Ukraine
Without Me,Halsey,2020-07-17,"1,776",188,Ukraine
Мишка (feat. KATERINA),Poshlaya Molly,2020-07-17,"1,774",189,Ukraine
Дим,Vremya i Steklo,2020-07-17,"1,767",190,Ukraine
Животные,Scriptonite,2020-07-17,"1,764",191,Ukraine
Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,2020-07-17,"1,758",192,Ukraine
Thunder,Imagine Dragons,2020-07-17,"1,757",193,Ukraine
Sour Candy (with BLACKPINK),Lady Gaga,2020-07-17,"1,755",194,Ukraine
Happier,"Marshmello, Bastille",2020-07-17,"1,754",195,Ukraine
Люби меня,"MiyaGi & Endspiel, Symptom",2020-07-17,"1,748",196,Ukraine
Falling Down - Bonus Track,"Lil Peep, XXXTENTACION",2020-07-17,"1,747",197,Ukraine
Natural,Imagine Dragons,2020-07-17,"1,746",198,Ukraine
СМУЗИ,The Limba,2020-07-17,"1,735",199,Ukraine
Say No Mo,kizaru,2020-07-17,"1,727",200,Ukraine
Blinding Lights,The Weeknd,2020-07-19,"12,503",1,Ukraine
Cadillac,"MORGENSHTERN, Eldzhey",2020-07-19,"11,686",2,Ukraine
ROCKSTAR (feat. Roddy Ricch),DaBaby,2020-07-19,"8,821",3,Ukraine
POPSTAR (feat. Drake),DJ Khaled,2020-07-19,"6,909",4,Ukraine
X.O,"The Limba, Andro",2020-07-19,"6,791",5,Ukraine
Yamakasi,Miyagi & Andy Panda,2020-07-19,"6,693",6,Ukraine
Minor,Miyagi & Andy Panda,2020-07-19,"6,693",7,Ukraine
Дежавю,kizaru,2020-07-19,"6,560",8,Ukraine
Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",2020-07-19,"6,180",9,Ukraine
Поболело и прошло,HENSY,2020-07-19,"5,982",10,Ukraine
Fendi,Rakhim,2020-07-19,"5,939",11,Ukraine
Watermelon Sugar,Harry Styles,2020-07-19,"5,857",12,Ukraine
ily (i love you baby) (feat. Emilee),Surf Mesa,2020-07-19,"5,669",13,Ukraine
How You Like That,BLACKPINK,2020-07-19,"5,532",14,Ukraine
Breaking Me,"Topic, A7S",2020-07-19,"5,489",15,Ukraine
Roses - Imanbek Remix,SAINt JHN,2020-07-19,"5,276",16,Ukraine
Honey's Kettle,"kizaru, HoodRich Pablo Juan",2020-07-19,"5,073",17,Ukraine
Come & Go (with Marshmello),Juice WRLD,2020-07-19,"5,031",18,Ukraine
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",2020-07-19,"4,875",19,Ukraine
Friendly Fire - Prod. Avepack,Boulevard Depo,2020-07-19,"4,834",20,Ukraine
Toosie Slide,Drake,2020-07-19,"4,738",21,Ukraine
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Tory Lanez, Jack Harlow",2020-07-19,"4,706",22,Ukraine
Kings & Queens,Ava Max,2020-07-19,"4,630",23,Ukraine
ВЕЧЕРиНОЧКА,"MONATIK, Vera Brezhneva",2020-07-19,"4,576",24,Ukraine
Там ревели горы,Miyagi & Andy Panda,2020-07-19,"4,391",25,Ukraine
Utopia,Miyagi & Andy Panda,2020-07-19,"4,285",26,Ukraine
Last Dance,Vremya i Steklo,2020-07-19,"4,267",27,Ukraine
Москва любит...,Scriptonite,2020-07-19,"4,235",28,Ukraine
HIGHEST IN THE ROOM,Travis Scott,2020-07-19,"4,222",29,Ukraine
Atlant,Miyagi & Andy Panda,2020-07-19,"4,220",30,Ukraine
Wishing Well,Juice WRLD,2020-07-19,"4,219",31,Ukraine
Blueberry Faygo,Lil Mosey,2020-07-19,"4,138",32,Ukraine
Колхозник,Mnogoznaal,2020-07-19,"4,079",33,Ukraine
SICKO MODE,Travis Scott,2020-07-19,"4,003",34,Ukraine
Положение,Scriptonite,2020-07-19,"3,902",35,Ukraine
Lovefool,twocolors,2020-07-19,"3,901",36,Ukraine
Меня не будет,"ANIKV, SALUKI",2020-07-19,"3,844",37,Ukraine
Tantra,Miyagi & Andy Panda,2020-07-19,"3,837",38,Ukraine
Party Girl (Remix),"StaySolidRocky, Lil Uzi Vert",2020-07-19,"3,767",39,Ukraine
MONEY LONG,kizaru,2020-07-19,"3,754",40,Ukraine
death bed (coffee for your head),"Powfu, beabadoobee",2020-07-19,"3,745",41,Ukraine
The Box,Roddy Ricch,2020-07-19,"3,742",42,Ukraine
Break My Heart,Dua Lipa,2020-07-19,"3,655",43,Ukraine
Шантаж,Max Korzh,2020-07-19,"3,578",44,Ukraine
Краш,"Klava Koka, NILETTO",2020-07-19,"3,577",45,Ukraine
goosebumps,Travis Scott,2020-07-19,"3,513",46,Ukraine
Конфеты,"Markul, Платина",2020-07-19,"3,497",47,Ukraine
Trap Luv,Big Baby Tape,2020-07-19,"3,495",48,Ukraine
Психопатия,Miyagi & Andy Panda,2020-07-19,"3,476",49,Ukraine
Новый Мерин,MORGENSHTERN,2020-07-19,"3,400",50,Ukraine
2 типа людей,Max Korzh,2020-07-19,"3,354",51,Ukraine
Rain On Me (with Ariana Grande),Lady Gaga,2020-07-19,"3,336",52,Ukraine
РАТАТАТАТА,"MORGENSHTERN, Vitya AK",2020-07-19,"3,336",53,Ukraine
Малый повзрослел,Max Korzh,2020-07-19,"3,311",54,Ukraine
Сияй,Ramil',2020-07-19,"3,266",55,Ukraine
Мало нам,Miyagi & Andy Panda,2020-07-19,"3,213",56,Ukraine
Gimme The Loot,Big Baby Tape,2020-07-19,"3,134",57,Ukraine
Dance Monkey,Tones And I,2020-07-19,"3,090",58,Ukraine
Don't Start Now,Dua Lipa,2020-07-19,"3,078",59,Ukraine
Малолетка,Max Korzh,2020-07-19,"3,054",60,Ukraine
ЮМОРИСТ - Original Motion Picture Soundtrack,FACE,2020-07-19,"3,022",61,Ukraine
Мультибрендовый,"Scriptonite, 104, T-Fest, Niman",2020-07-19,"2,990",62,Ukraine
In Your Eyes,The Weeknd,2020-07-19,"2,956",63,Ukraine
Medicine,Miyagi & Andy Panda,2020-07-19,"2,920",64,Ukraine
Тихо діти сплять (Tyho Dity Splyat),alyona alyona,2020-07-19,"2,914",65,Ukraine
Balenciaga,FILV,2020-07-19,"2,884",66,Ukraine
Малиновый закат,Max Korzh,2020-07-19,"2,872",67,Ukraine
Ламбада,"T-Fest, Scriptonite",2020-07-19,"2,871",68,Ukraine
Say So,Doja Cat,2020-07-19,"2,849",69,Ukraine
Angry toy$ - Prod. Ray Qwa,Boulevard Depo,2020-07-19,"2,833",70,Ukraine
Yung Hefner,MORGENSHTERN,2020-07-19,"2,738",71,Ukraine
ВТОРНИК,GONE.Fludd,2020-07-19,"2,730",72,Ukraine
bad guy,Billie Eilish,2020-07-19,"2,716",73,Ukraine
Разнесем,Max Korzh,2020-07-19,"2,699",74,Ukraine
Цепи,"Scriptonite, 104",2020-07-19,"2,697",75,Ukraine
MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",2020-07-19,"2,681",76,Ukraine
Серпантин,Markul,2020-07-19,"2,671",77,Ukraine
Август,Intelligency,2020-07-19,"2,630",78,Ukraine
Грустная Песня (feat. Егор Крид & MORGENSHTERN),"THRILL PILL, Egor Kreed",2020-07-19,"2,612",79,Ukraine
Such a Whore (Stellular Remix),JVLA,2020-07-19,"2,600",80,Ukraine
Falling,Trevor Daniel,2020-07-19,"2,592",81,Ukraine
Godzilla (feat. Juice WRLD),Eminem,2020-07-19,"2,577",82,Ukraine
Choco,HLEB,2020-07-19,"2,558",83,Ukraine
Life Is Good (feat. Drake),Future,2020-07-19,"2,543",84,Ukraine
Рашан моуст уонтэд,kizaru,2020-07-19,"2,520",85,Ukraine
Kosandra,Miyagi & Andy Panda,2020-07-19,"2,509",86,Ukraine
Привычка,"Scriptonite, Andy Panda, 104",2020-07-19,"2,497",87,Ukraine
Проснулся В Темноте,GONE.Fludd,2020-07-19,"2,495",88,Ukraine
27,FEDUK,2020-07-19,"2,493",89,Ukraine
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,2020-07-19,"2,468",90,Ukraine
Ураган (feat. V $ X V PRiNCE),"GUF, Murovei",2020-07-19,"2,465",91,Ukraine
ЧЁРНЫЙ БУМЕР,"DAVA, Seryoga",2020-07-19,"2,461",92,Ukraine
Habits,payton,2020-07-19,"2,457",93,Ukraine
Righteous,Juice WRLD,2020-07-19,"2,432",94,Ukraine
Мы открываем бизнес (Skit),SHOOVAL,2020-07-19,"2,426",95,Ukraine
Евгений Онегин,kizaru,2020-07-19,"2,404",96,Ukraine
Circles,Post Malone,2020-07-19,"2,381",97,Ukraine
Двигаться,Raim,2020-07-19,"2,377",98,Ukraine
Stunnin' (feat. Harm Franklin),Curtis Waters,2020-07-19,"2,373",99,Ukraine
Бандана,Платина,2020-07-19,"2,343",100,Ukraine
SAD!,XXXTENTACION,2020-07-19,"2,343",101,Ukraine
СИЛЬНО,MONATIK,2020-07-19,"2,330",102,Ukraine
GOOBA,6ix9ine,2020-07-19,"2,325",103,Ukraine
Горы по колено,Max Korzh,2020-07-19,"2,324",104,Ukraine
Без ключа,PHARAOH,2020-07-19,"2,320",105,Ukraine
Surname (Prod. DJ Tape & Aarne),Big Baby Tape,2020-07-19,"2,310",106,Ukraine
Your eyes tell,BTS,2020-07-19,"2,310",107,Ukraine
Star Shopping,Lil Peep,2020-07-19,"2,307",108,Ukraine
Юность,Dabro,2020-07-19,"2,304",109,Ukraine
Останься (feat. BMB SpaceKid),FEDUK,2020-07-19,"2,291",110,Ukraine
B.I.D,Markul,2020-07-19,"2,289",111,Ukraine
hot girl bummer,blackbear,2020-07-19,"2,274",112,Ukraine
По секрету,Max Barskih,2020-07-19,"2,269",113,Ukraine
Я закохався,"HammAli & Navai, Misha Marvin",2020-07-19,"2,267",114,Ukraine
Дорадура,дора,2020-07-19,"2,256",115,Ukraine
ДЕВОЧКА С КАРЕ,MUKKA,2020-07-19,"2,245",116,Ukraine
Credo,Zivert,2020-07-19,"2,243",117,Ukraine
Stay Gold,BTS,2020-07-19,"2,222",118,Ukraine
Lucid Dreams,Juice WRLD,2020-07-19,"2,222",119,Ukraine
NBA (Не мешай),"RSAC, ELLA",2020-07-19,"2,203",120,Ukraine
Believer,Imagine Dragons,2020-07-19,"2,202",121,Ukraine
Антигерой,Mnogoznaal,2020-07-19,"2,198",122,Ukraine
СПАСАТЕЛЬНЫЙ КРУГ,FACE,2020-07-19,"2,183",123,Ukraine
WHATS POPPIN,Jack Harlow,2020-07-19,"2,150",124,Ukraine
Больше бед,Markul,2020-07-19,"2,150",125,Ukraine
3x3,"Gruppa Skryptonite, 104, T-Fest",2020-07-19,"2,149",126,Ukraine
МОЙ КАЛАШНИКОВ,FACE,2020-07-19,"2,137",127,Ukraine
Инкассатор,ROCKET,2020-07-19,"2,126",128,Ukraine
Ransom,Lil Tecca,2020-07-19,"2,120",129,Ukraine
Jocelyn Flores,XXXTENTACION,2020-07-19,"2,111",130,Ukraine
7 rings,Ariana Grande,2020-07-19,"2,105",131,Ukraine
Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,2020-07-19,"2,100",132,Ukraine
Someone You Loved,Lewis Capaldi,2020-07-19,"2,083",133,Ukraine
lovely (with Khalid),Billie Eilish,2020-07-19,"2,082",134,Ukraine
OUT WEST (feat. Young Thug),"JACKBOYS, Travis Scott",2020-07-19,"2,073",135,Ukraine
Supalonely,"BENEE, Gus Dapperton",2020-07-19,"2,060",136,Ukraine
Be Kind (with Halsey),Marshmello,2020-07-19,"2,056",137,Ukraine
I Got Love,"MiyaGi & Endspiel, Rem Digga",2020-07-19,"2,055",138,Ukraine
Ананасовый сироп,"Natan, Gunwest",2020-07-19,"2,045",139,Ukraine
Гостиница Космос,Mnogoznaal,2020-07-19,"2,044",140,Ukraine
Life's A Mess (feat. Halsey),Juice WRLD,2020-07-19,"2,034",141,Ukraine
Air Force 1,lil krystalll,2020-07-19,"2,034",142,Ukraine
TKN (feat. Travis Scott),ROSALÍA,2020-07-19,"2,026",143,Ukraine
"Дико, например",PHARAOH,2020-07-19,"2,026",144,Ukraine
Это любовь,Scriptonite,2020-07-19,"2,025",145,Ukraine
ROXANNE,Arizona Zervas,2020-07-19,"2,017",146,Ukraine
Надежда,FACE,2020-07-19,"1,998",147,Ukraine
Fata Morgana,"Markul, Oxxxymiron",2020-07-19,"1,990",148,Ukraine
Hokage,Big Baby Tape,2020-07-19,"1,970",149,Ukraine
Контрольный,Max Korzh,2020-07-19,"1,966",150,Ukraine
Не по пути,PHARAOH,2020-07-19,"1,963",151,Ukraine
А если это любовь?,HammAli & Navai,2020-07-19,"1,960",152,Ukraine
Мне пох,"Klava Koka, MORGENSHTERN",2020-07-19,"1,950",153,Ukraine
На лету,V $ X V PRiNCE,2020-07-19,"1,946",154,Ukraine
Stuck with U (with Justin Bieber),Ariana Grande,2020-07-19,"1,942",155,Ukraine
Между Нами,LIZER,2020-07-19,"1,942",156,Ukraine
God’s Menu,Stray Kids,2020-07-19,"1,940",157,Ukraine
Conversations,Juice WRLD,2020-07-19,"1,937",158,Ukraine
SO WHAT!,jxdn,2020-07-19,"1,929",159,Ukraine
Hypnodancer,Little Big,2020-07-19,"1,924",160,Ukraine
Пачка сигарет,LIZER,2020-07-19,"1,918",161,Ukraine
Нон стоп,Poshlaya Molly,2020-07-19,"1,899",162,Ukraine
nursery,"bbno$, lentra",2020-07-19,"1,897",163,Ukraine
СМУЗИ,The Limba,2020-07-19,"1,893",164,Ukraine
