Song,Artist,Date,Streams,Rank,Country
Starboy,"The Weeknd, Daft Punk",2017-01-04,"1,394",1,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-04,"1,169",2,Luxembourg
Closer,"The Chainsmokers, Halsey",2017-01-04,"1,157",3,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-04,"1,051",4,Luxembourg
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-04,"1,023",5,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-04,"1,003",6,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-01,"1,020",1,Luxembourg
Shape of You,Ed Sheeran,2017-01-08,"2,733",1,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-08,"1,660",2,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-08,"1,325",3,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-08,"1,297",4,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-08,"1,152",5,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-08,"1,098",6,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-08,"1,048",7,Luxembourg
Shape of You,Ed Sheeran,2017-01-07,"2,355",1,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-07,"1,741",2,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-07,"1,360",3,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-07,"1,339",4,Luxembourg
Closer,"The Chainsmokers, Halsey",2017-01-07,"1,208",5,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-07,"1,204",6,Luxembourg
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-07,"1,165",7,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-07,"1,156",8,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-07,"1,091",9,Luxembourg
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-07,"1,067",10,Luxembourg
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-07,"1,012",11,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-05,"1,352",1,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-05,"1,224",2,Luxembourg
Closer,"The Chainsmokers, Halsey",2017-01-05,"1,132",3,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-05,"1,102",4,Luxembourg
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-05,"1,089",5,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-05,"1,051",6,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-05,"1,004",7,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-02,"1,312",1,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-02,"1,171",2,Luxembourg
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-02,"1,040",3,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-03,"1,335",1,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-03,"1,185",2,Luxembourg
Closer,"The Chainsmokers, Halsey",2017-01-03,"1,087",3,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-03,"1,070",4,Luxembourg
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-03,"1,066",5,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-03,"1,060",6,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-03,"1,060",7,Luxembourg
Shape of You,Ed Sheeran,2017-01-06,"2,259",1,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-06,"1,947",2,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-06,"1,385",3,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-06,"1,371",4,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-06,"1,222",5,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-06,"1,119",6,Luxembourg
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-06,"1,088",7,Luxembourg
Closer,"The Chainsmokers, Halsey",2017-01-06,"1,082",8,Luxembourg
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-06,"1,042",9,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-06,"1,040",10,Luxembourg
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-06,"1,030",11,Luxembourg
Shape of You,Ed Sheeran,2017-01-09,"3,091",1,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-09,"1,760",2,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-09,"1,377",3,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-09,"1,377",4,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-09,"1,187",5,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-09,"1,184",6,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-09,"1,109",7,Luxembourg
Shape of You,Ed Sheeran,2017-01-10,"3,184",1,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-10,"1,733",2,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-10,"1,424",3,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-10,"1,326",4,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-10,"1,290",5,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-10,"1,170",6,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-10,"1,132",7,Luxembourg
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-10,"1,018",8,Luxembourg
Shape of You,Ed Sheeran,2017-01-12,"2,948",1,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-12,"1,479",2,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-12,"1,426",3,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-12,"1,424",4,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-12,"1,343",5,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-12,"1,167",6,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-12,"1,153",7,Luxembourg
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-12,"1,075",8,Luxembourg
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-12,"1,036",9,Luxembourg
Closer,"The Chainsmokers, Halsey",2017-01-12,"1,026",10,Luxembourg
Shape of You,Ed Sheeran,2017-01-11,"2,911",1,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-11,"1,527",2,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-11,"1,474",3,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-11,"1,314",4,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-11,"1,290",5,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-11,"1,209",6,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-11,"1,111",7,Luxembourg
Closer,"The Chainsmokers, Halsey",2017-01-11,"1,039",8,Luxembourg
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-11,"1,030",9,Luxembourg
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-11,"1,013",10,Luxembourg
Shape of You,Ed Sheeran,2017-01-15,"3,006",1,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-15,"1,438",2,Luxembourg
Paris,The Chainsmokers,2017-01-15,"1,309",3,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-15,"1,275",4,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-15,"1,275",5,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-15,"1,268",6,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-15,"1,092",7,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-15,"1,088",8,Luxembourg
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-15,"1,024",9,Luxembourg
Shape of You,Ed Sheeran,2017-01-16,"3,202",1,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-16,"1,442",2,Luxembourg
Paris,The Chainsmokers,2017-01-16,"1,369",3,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-16,"1,354",4,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-16,"1,301",5,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-16,"1,296",6,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-16,"1,103",7,Luxembourg
Shape of You,Ed Sheeran,2017-01-14,"3,175",1,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-14,"1,567",2,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-14,"1,508",3,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-14,"1,491",4,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-14,"1,450",5,Luxembourg
Paris,The Chainsmokers,2017-01-14,"1,223",6,Luxembourg
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-14,"1,186",7,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-14,"1,179",8,Luxembourg
Closer,"The Chainsmokers, Halsey",2017-01-14,"1,147",9,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-14,"1,141",10,Luxembourg
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-14,"1,091",11,Luxembourg
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-14,"1,055",12,Luxembourg
Shape of You,Ed Sheeran,2017-01-13,"3,113",1,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-13,"1,593",2,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-13,"1,503",3,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-13,"1,500",4,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-13,"1,462",5,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-13,"1,318",6,Luxembourg
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-13,"1,166",7,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-13,"1,133",8,Luxembourg
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-13,"1,091",9,Luxembourg
Closer,"The Chainsmokers, Halsey",2017-01-13,"1,067",10,Luxembourg
Shape of You,Ed Sheeran,2017-01-17,"3,077",1,Luxembourg
Paris,The Chainsmokers,2017-01-17,"1,556",2,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-17,"1,434",3,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-17,"1,346",4,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-17,"1,277",5,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-17,"1,243",6,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-17,"1,139",7,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-17,"1,120",8,Luxembourg
Shape of You,Ed Sheeran,2017-01-18,"3,053",1,Luxembourg
Paris,The Chainsmokers,2017-01-18,"1,579",2,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-18,"1,356",3,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-18,"1,324",4,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-18,"1,291",5,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-18,"1,274",6,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-18,"1,196",7,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-18,"1,095",8,Luxembourg
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-18,"1,064",9,Luxembourg
Shape of You,Ed Sheeran,2017-01-19,"3,206",1,Luxembourg
Paris,The Chainsmokers,2017-01-19,"1,622",2,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-19,"1,383",3,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-19,"1,331",4,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-19,"1,324",5,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-19,"1,286",6,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-19,"1,108",7,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-19,"1,084",8,Luxembourg
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-19,"1,081",9,Luxembourg
Shape of You,Ed Sheeran,2017-01-20,"3,280",1,Luxembourg
Paris,The Chainsmokers,2017-01-20,"1,775",2,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-20,"1,425",3,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-20,"1,406",4,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-20,"1,386",5,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-20,"1,373",6,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-20,"1,231",7,Luxembourg
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-20,"1,126",8,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-20,"1,105",9,Luxembourg
Closer,"The Chainsmokers, Halsey",2017-01-20,"1,051",10,Luxembourg
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-20,"1,047",11,Luxembourg
Shape of You,Ed Sheeran,2017-01-24,"3,410",1,Luxembourg
Paris,The Chainsmokers,2017-01-24,"1,833",2,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-24,"1,421",3,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-24,"1,370",4,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-24,"1,366",5,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-24,"1,259",6,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-24,"1,235",7,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-24,"1,101",8,Luxembourg
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-24,"1,022",9,Luxembourg
Shape of You,Ed Sheeran,2017-01-22,"3,348",1,Luxembourg
Paris,The Chainsmokers,2017-01-22,"1,679",2,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-22,"1,420",3,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-22,"1,401",4,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-22,"1,286",5,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-22,"1,285",6,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-22,"1,257",7,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-22,"1,106",8,Luxembourg
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-22,"1,029",9,Luxembourg
Shape of You,Ed Sheeran,2017-01-23,"3,373",1,Luxembourg
Paris,The Chainsmokers,2017-01-23,"1,677",2,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-23,"1,395",3,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-23,"1,198",4,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-23,"1,198",5,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-23,"1,190",6,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-23,"1,187",7,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-23,"1,039",8,Luxembourg
Shape of You,Ed Sheeran,2017-01-21,"3,372",1,Luxembourg
Paris,The Chainsmokers,2017-01-21,"1,827",2,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-21,"1,461",3,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-21,"1,450",4,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-21,"1,435",5,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-21,"1,413",6,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-21,"1,285",7,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-21,"1,212",8,Luxembourg
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-21,"1,178",9,Luxembourg
Closer,"The Chainsmokers, Halsey",2017-01-21,"1,093",10,Luxembourg
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-21,"1,030",11,Luxembourg
Shape of You,Ed Sheeran,2017-01-25,"3,257",1,Luxembourg
Paris,The Chainsmokers,2017-01-25,"1,833",2,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-25,"1,335",3,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-25,"1,301",4,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-25,"1,282",5,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-25,"1,241",6,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-25,"1,180",7,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-25,"1,137",8,Luxembourg
Shape of You,Ed Sheeran,2017-01-26,"3,560",1,Luxembourg
Paris,The Chainsmokers,2017-01-26,"1,863",2,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-26,"1,431",3,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-26,"1,428",4,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-26,"1,402",5,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-26,"1,324",6,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-26,"1,267",7,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-26,"1,158",8,Luxembourg
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-26,"1,036",9,Luxembourg
Shape of You,Ed Sheeran,2017-02-03,"3,977",1,Luxembourg
Paris,The Chainsmokers,2017-02-03,"1,862",2,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-02-03,"1,622",3,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-02-03,"1,459",4,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-02-03,"1,424",5,Luxembourg
Scared to Be Lonely,"Martin Garrix, Dua Lipa",2017-02-03,"1,381",6,Luxembourg
Castle on the Hill,Ed Sheeran,2017-02-03,"1,359",7,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-02-03,"1,188",8,Luxembourg
Say You Won't Let Go,James Arthur,2017-02-03,"1,111",9,Luxembourg
I Feel It Coming,"The Weeknd, Daft Punk",2017-02-03,"1,055",10,Luxembourg
Bad and Boujee (feat. Lil Uzi Vert),Migos,2017-02-03,"1,050",11,Luxembourg
Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,2017-02-03,"1,022",12,Luxembourg
Shape of You,Ed Sheeran,2017-01-27,"3,883",1,Luxembourg
Paris,The Chainsmokers,2017-01-27,"1,801",2,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-27,"1,564",3,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-27,"1,509",4,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-27,"1,491",5,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-27,"1,357",6,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-27,"1,261",7,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-27,"1,089",8,Luxembourg
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-27,"1,061",9,Luxembourg
Shape of You,Ed Sheeran,2017-01-29,"3,181",1,Luxembourg
Paris,The Chainsmokers,2017-01-29,"1,594",2,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-29,"1,456",3,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-29,"1,222",4,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-29,"1,169",5,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-29,"1,157",6,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-29,"1,037",7,Luxembourg
Shape of You,Ed Sheeran,2017-01-30,"3,465",1,Luxembourg
Paris,The Chainsmokers,2017-01-30,"1,700",2,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-30,"1,408",3,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-30,"1,376",4,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-30,"1,204",5,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-30,"1,151",6,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-30,"1,032",7,Luxembourg
Shape of You,Ed Sheeran,2017-01-31,"3,666",1,Luxembourg
Paris,The Chainsmokers,2017-01-31,"1,855",2,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-31,"1,466",3,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-31,"1,412",4,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-31,"1,322",5,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-31,"1,240",6,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-31,"1,108",7,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-31,"1,056",8,Luxembourg
Shape of You,Ed Sheeran,2017-02-01,"3,450",1,Luxembourg
Paris,The Chainsmokers,2017-02-01,"1,778",2,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-02-01,"1,446",3,Luxembourg
Castle on the Hill,Ed Sheeran,2017-02-01,"1,308",4,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-02-01,"1,285",5,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-02-01,"1,252",6,Luxembourg
Scared to Be Lonely,"Martin Garrix, Dua Lipa",2017-02-01,"1,074",7,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-02-01,"1,042",8,Luxembourg
Shape of You,Ed Sheeran,2017-01-28,"3,636",1,Luxembourg
Paris,The Chainsmokers,2017-01-28,"1,805",2,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-28,"1,552",3,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-28,"1,435",4,Luxembourg
Castle on the Hill,Ed Sheeran,2017-01-28,"1,350",5,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-28,"1,276",6,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-01-28,"1,248",7,Luxembourg
Say You Won't Let Go,James Arthur,2017-01-28,"1,105",8,Luxembourg
Closer,"The Chainsmokers, Halsey",2017-01-28,"1,069",9,Luxembourg
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-28,"1,061",10,Luxembourg
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-28,"1,022",11,Luxembourg
Shape of You,Ed Sheeran,2017-02-02,"3,750",1,Luxembourg
Paris,The Chainsmokers,2017-02-02,"1,842",2,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-02-02,"1,409",3,Luxembourg
Castle on the Hill,Ed Sheeran,2017-02-02,"1,343",4,Luxembourg
Call On Me - Ryan Riback Extended Remix,Starley,2017-02-02,"1,294",5,Luxembourg
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-02-02,"1,294",6,Luxembourg
Scared to Be Lonely,"Martin Garrix, Dua Lipa",2017-02-02,"1,240",7,Luxembourg
Starboy,"The Weeknd, Daft Punk",2017-02-02,"1,177",8,Luxembourg
Say You Won't Let Go,James Arthur,2017-02-02,"1,071",9,Luxembourg
I Feel It Coming,"The Weeknd, Daft Punk",2017-02-02,"1,057",10,Luxembourg
Shape of You,Ed Sheeran,2017-02-07,"3,660",1,Luxembourg
Paris,The Chainsmokers,2017-02-07,"1,802",2,Luxembourg
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-02-07,"1,673",3,Luxembourg
